"Date","Price","Open","High","Low","Change %"
"08/14/2025","136.48","133.94","136.48","133.94","1.90%"
"08/13/2025","133.94","135.93","135.93","133.94","-2.18%"
"08/12/2025","136.92","138.91","138.91","136.92","-1.08%"
"08/11/2025","138.41","141.42","141.42","138.41","-2.12%"
"08/08/2025","141.41","144.83","144.83","141.41","-2.36%"
"08/07/2025","144.83","148.77","148.77","144.83","-2.97%"
"08/06/2025","149.26","151.72","151.72","149.26","-0.99%"
"08/05/2025","150.75","149.26","150.75","149.26","1.00%"
"08/04/2025","149.26","152.89","152.89","149.26","-1.78%"
"08/01/2025","151.97","148.24","151.97","148.24","2.86%"
"07/31/2025","147.75","150.26","150.26","147.75","-1.67%"
"07/30/2025","150.26","148.20","150.26","148.20","0.70%"
"07/29/2025","149.21","147.28","149.21","147.28","1.32%"
"07/28/2025","147.26","147.28","147.28","147.26","-0.01%"
"07/25/2025","147.28","144.83","147.28","144.83","1.69%"
"07/24/2025","144.83","147.32","147.32","144.83","-1.69%"
"07/23/2025","147.32","147.23","147.32","147.23","0.06%"
"07/22/2025","147.23","145.76","147.23","145.76","1.01%"
"07/21/2025","145.76","145.75","145.76","145.75","0.01%"
"07/18/2025","145.75","147.78","147.78","145.75","-1.37%"
"07/17/2025","147.78","150.15","150.15","147.78","-1.58%"
"07/16/2025","150.15","147.82","150.15","147.82","1.58%"
"07/15/2025","147.82","147.76","147.82","147.76","0.04%"
"07/14/2025","147.76","147.78","147.78","147.76","-0.01%"
"07/11/2025","147.78","147.76","147.78","147.76","0.01%"
"07/10/2025","147.76","141.30","147.76","141.30","4.57%"
"07/09/2025","141.30","144.81","144.81","141.30","-2.42%"
"07/08/2025","144.81","143.81","144.81","143.81","0.70%"
"07/07/2025","143.81","139.37","143.81","139.37","3.19%"
"07/04/2025","139.37","139.43","139.43","139.37","-0.04%"
"07/03/2025","139.43","144.79","144.79","139.43","-3.70%"
"07/02/2025","144.79","145.31","145.31","144.79","-0.36%"
"07/01/2025","145.31","147.70","147.70","145.31","-1.62%"
"06/30/2025","147.70","151.19","151.19","147.70","-2.31%"
"06/27/2025","151.19","152.09","152.09","151.19","-0.59%"
"06/26/2025","152.09","150.67","152.09","150.67","0.92%"
"06/25/2025","150.70","149.64","150.70","149.64","0.67%"
"06/24/2025","149.69","155.00","155.00","149.69","-3.73%"
"06/23/2025","155.49","156.55","156.55","155.49","-0.68%"
"06/20/2025","156.55","158.04","158.04","156.55","-0.94%"
"06/19/2025","158.04","156.08","158.04","156.08","1.26%"
"06/18/2025","156.08","151.60","156.08","151.60","2.96%"
"06/17/2025","151.60","151.20","151.60","151.20","0.26%"
"06/16/2025","151.20","152.18","152.18","151.20","-0.64%"
"06/13/2025","152.18","149.62","152.18","149.62","1.71%"
"06/12/2025","149.62","151.06","151.06","149.62","-0.95%"
"06/11/2025","151.06","154.58","154.58","151.06","-2.28%"
"06/10/2025","154.58","155.51","155.51","154.58","-0.60%"
"06/09/2025","155.51","157.19","157.19","155.51","-1.10%"
"06/06/2025","157.24","160.06","160.06","157.24","-1.76%"
"06/05/2025","160.06","156.44","160.06","156.44","2.31%"
"06/04/2025","156.44","155.10","156.44","155.10","0.86%"
"06/03/2025","155.10","157.10","157.10","155.10","-1.27%"
"06/02/2025","157.10","160.44","160.44","157.10","-2.08%"
"05/30/2025","160.44","161.39","161.39","160.44","-0.59%"
"05/29/2025","161.39","163.03","163.03","161.39","-1.01%"
"05/28/2025","163.03","162.94","163.03","162.94","0.06%"
"05/27/2025","162.94","168.86","168.86","162.94","-3.51%"
"05/26/2025","168.86","168.78","168.86","168.78","0.05%"
"05/23/2025","168.78","167.82","168.78","167.82","0.57%"
"05/22/2025","167.82","164.99","167.82","164.99","1.72%"
"05/21/2025","164.99","161.49","164.99","161.49","2.17%"
"05/20/2025","161.49","165.37","165.37","161.49","-2.35%"
"05/19/2025","165.37","164.93","165.37","164.93","0.27%"
"05/16/2025","164.93","164.77","164.93","164.77","0.10%"
"05/15/2025","164.77","162.50","164.77","162.50","1.40%"
"05/14/2025","162.50","161.97","162.50","161.97","0.33%"
"05/13/2025","161.97","163.10","163.10","161.97","-0.69%"
"05/12/2025","163.10","177.11","177.11","163.10","-7.89%"
"05/09/2025","177.07","177.84","177.84","177.07","-0.43%"
"05/08/2025","177.84","177.59","177.84","177.59","0.12%"
"05/07/2025","177.63","179.96","179.96","177.63","-1.31%"
"05/06/2025","179.98","179.59","179.98","179.59","0.23%"
"05/05/2025","179.57","179.81","179.81","179.57","-0.11%"
"05/02/2025","179.77","182.18","182.18","179.77","-1.28%"
"05/01/2025","182.10","181.91","182.10","181.91","0.10%"
"04/30/2025","181.91","180.45","181.91","180.45","0.81%"
"04/29/2025","180.45","183.37","183.37","180.45","-1.10%"
"04/28/2025","182.46","181.48","182.46","181.48","-0.02%"
"04/25/2025","182.49","182.36","182.49","182.36","-1.27%"
"04/24/2025","184.83","191.41","191.41","184.83","-3.39%"
"04/23/2025","191.31","198.19","198.19","191.31","-3.47%"
"04/22/2025","198.19","194.07","198.19","194.07","2.14%"
"04/21/2025","194.03","194.16","194.16","194.03","-0.07%"
"04/18/2025","194.16","194.17","194.17","194.16","-0.01%"
"04/17/2025","194.17","198.93","198.93","194.17","-2.39%"
"04/16/2025","198.93","191.18","198.93","191.18","4.05%"
"04/15/2025","191.18","192.94","192.94","191.18","-0.91%"
"04/14/2025","192.94","198.35","198.35","192.94","-2.73%"
"04/11/2025","198.35","197.98","198.35","197.98","0.19%"
"04/10/2025","197.98","185.90","197.98","185.90","6.50%"
"04/09/2025","185.90","210.58","210.58","185.90","-11.72%"
"04/08/2025","210.58","200.24","210.58","200.24","5.16%"
"04/07/2025","200.24","199.82","200.24","199.82","0.26%"
"04/04/2025","199.72","188.78","199.72","188.78","5.80%"
"04/03/2025","188.78","184.04","188.78","184.04","2.58%"
"04/02/2025","184.04","182.86","184.04","182.86","0.65%"
"04/01/2025","182.86","188.36","188.36","182.86","-2.92%"
"03/31/2025","188.36","185.17","188.36","185.17","1.72%"
"03/28/2025","185.17","180.98","185.17","180.98","2.32%"
"03/27/2025","180.98","181.99","181.99","180.98","-0.55%"
"03/26/2025","181.99","179.45","181.99","179.45","1.42%"
"03/25/2025","179.45","182.63","182.63","179.45","-1.74%"
"03/24/2025","182.63","190.23","190.23","182.63","-4.00%"
"03/21/2025","190.23","189.73","190.23","189.73","0.26%"
"03/20/2025","189.73","183.87","189.73","183.87","13.35%"
"03/19/2025","167.39","170.39","170.39","167.39","-1.76%"
"03/18/2025","170.39","174.88","174.88","170.39","-2.57%"
"03/17/2025","174.88","173.96","174.88","173.96","0.53%"
"03/14/2025","173.96","178.20","178.20","173.96","-2.38%"
"03/13/2025","178.20","174.93","178.20","174.93","1.87%"
"03/12/2025","174.93","178.33","178.33","174.93","-1.91%"
"03/11/2025","178.33","178.08","178.33","178.08","0.14%"
"03/10/2025","178.08","173.92","178.08","173.92","2.47%"
"03/07/2025","173.79","173.78","173.79","173.78","-0.02%"
"03/06/2025","173.83","178.91","178.91","173.83","-2.76%"
"03/05/2025","178.77","184.16","184.16","178.77","-2.89%"
"03/04/2025","184.09","179.25","184.09","179.25","3.34%"
"03/03/2025","178.14","178.14","179.29","178.14","1.05%"
"02/28/2025","176.29","176.29","176.29","175.69","3.19%"
"02/27/2025","170.84","170.84","173.37","170.84","0.05%"
"02/26/2025","170.75","170.75","170.75","170.43","0.22%"
"02/25/2025","170.37","170.37","171.72","170.37","1.24%"
"02/24/2025","168.29","168.29","170.37","168.29","2.32%"
"02/21/2025","164.47","164.47","168.29","164.47","0.01%"
"02/20/2025","164.46","164.46","164.46","163.98","0.54%"
"02/19/2025","163.57","163.57","164.46","163.57","-1.42%"
"02/18/2025","165.93","165.93","165.93","163.56","0.06%"
"02/17/2025","165.83","165.83","165.93","165.83","-1.17%"
"02/14/2025","167.79","167.79","167.79","165.82","-0.15%"
"02/13/2025","168.05","168.05","168.05","167.79","-2.21%"
"02/12/2025","171.85","171.85","171.85","170.53","0.03%"
"02/11/2025","171.80","171.80","171.86","171.80","0.51%"
"02/10/2025","170.93","170.93","171.76","170.93","-1.09%"
"02/07/2025","172.82","172.82","172.82","171.43","0.09%"
"02/06/2025","172.67","172.67","172.82","172.67","0.82%"
"02/05/2025","171.26","171.26","172.67","171.26","-3.40%"
"02/04/2025","177.28","177.28","177.28","171.26","1.43%"
"02/03/2025","174.78","174.78","177.28","174.78","-1.34%"
"01/31/2025","177.15","177.15","177.15","175.72","-0.08%"
"01/30/2025","177.29","177.29","177.29","177.18","-0.79%"
"01/29/2025","178.71","178.71","178.71","176.25","-0.45%"
"01/28/2025","179.51","179.51","179.51","178.73","3.33%"
"01/27/2025","173.72","173.72","179.53","173.72","0.53%"
"01/24/2025","172.80","172.80","173.69","172.80","-1.42%"
"01/23/2025","175.29","175.29","175.29","174.26","-3.46%"
"01/22/2025","181.57","181.57","181.57","176.76","0.54%"
"01/21/2025","180.59","180.59","181.56","180.59","-2.91%"
"01/20/2025","186.00","186.00","186.00","180.59","-0.72%"
"01/17/2025","187.34","187.34","187.34","186.01","0.61%"
"01/16/2025","186.20","186.20","187.33","186.20","-3.17%"
"01/15/2025","192.29","192.29","192.29","187.21","-1.04%"
"01/14/2025","194.32","194.32","194.32","192.30","-1.61%"
"01/13/2025","197.49","197.49","197.49","196.74","4.56%"
"01/10/2025","188.88","188.88","197.49","188.88","-2.01%"
"01/09/2025","192.75","192.75","192.75","188.88","2.27%"
